State,Year,State_Year,LI_Coal_Heaters,LI_NG_Heaters,LI_FO_KE_Heaters,LI_LPG_Heaters,LI_EL_Heaters,LI_Wood_Heaters
NORTH DAKOTA,2007,NORTH DAKOTA 2007,625,22430,6805,11180,22155,1354
NORTH DAKOTA,2008,NORTH DAKOTA 2008,625,22430,6805,11180,22155,1354
NORTH DAKOTA,2009,NORTH DAKOTA 2009,625,22430,6805,11180,22155,1354
NORTH DAKOTA,2010,NORTH DAKOTA 2010,481,23122,5012,10447,34275,511
NORTH DAKOTA,2011,NORTH DAKOTA 2011,481,23122,5012,10447,34275,511
NORTH DAKOTA,2012,NORTH DAKOTA 2012,557,23445,4726,10244,36601,444
NORTH DAKOTA,2013,NORTH DAKOTA 2013,1220,22617,4001,10728,32850,438
NORTH DAKOTA,2014,NORTH DAKOTA 2014,301,24885,3917,11325,35984,331
NORTH DAKOTA,2015,NORTH DAKOTA 2015,502,25140,3397,10997,35182,326
NORTH DAKOTA,2016,NORTH DAKOTA 2016,607,25308,3495,10919,38826,281
NORTH DAKOTA,2017,NORTH DAKOTA 2017,635,26978,9850,11618,40279,292
NORTH DAKOTA,2018,NORTH DAKOTA 2018,739,27977,3489,11366,43273,376
NORTH DAKOTA,2019,NORTH DAKOTA 2019,566,27894,3265,10821,45580,383
OHIO,2006,OHIO 2006,1530,783180,53255,69105,256095,47724
OHIO,2007,OHIO 2007,1530,783180,53255,69105,256095,47724
OHIO,2008,OHIO 2008,1530,783180,53255,69105,256095,47724
OHIO,2009,OHIO 2009,1530,783180,53255,69105,256095,47724
OHIO,2010,OHIO 2010,1634,889268,48470,69271,330059,19942
OHIO,2011,OHIO 2011,1634,889268,48470,69271,330059,19942
OHIO,2012,OHIO 2012,1297,857846,42703,63305,343496,21969
OHIO,2013,OHIO 2013,3959,907581,42700,67506,366837,25409
OHIO,2014,OHIO 2014,1678,947056,43269,68331,390200,28368
OHIO,2015,OHIO 2015,1512,923793,37686,65314,392353,26904
OHIO,2016,OHIO 2016,1505,902503,34799,61108,398854,25081
OHIO,2017,OHIO 2017,1490,899557,118830,61494,396821,25959
OHIO,2018,OHIO 2018,1330,905399,34225,59867,406693,25483
OHIO,2019,OHIO 2019,1324,894926,32686,60056,411764,24686
OKLAHOMA,2006,OKLAHOMA 2006,10,207605,445,47465,103000,24310
OKLAHOMA,2007,OKLAHOMA 2007,10,207605,445,47465,103000,24310
OKLAHOMA,2008,OKLAHOMA 2008,10,207605,445,47465,103000,24310
OKLAHOMA,2009,OKLAHOMA 2009,10,207605,445,47465,103000,24310
OKLAHOMA,2010,OKLAHOMA 2010,42,209825,1216,37476,136219,9150
OKLAHOMA,2011,OKLAHOMA 2011,42,209825,1216,37476,136219,9150
OKLAHOMA,2012,OKLAHOMA 2012,0,192128,258,32003,138573,10236
OKLAHOMA,2013,OKLAHOMA 2013,63,194520,243,33445,147054,10058
OKLAHOMA,2014,OKLAHOMA 2014,35,209714,374,35111,159635,9829
OKLAHOMA,2015,OKLAHOMA 2015,39,205274,618,32368,172319,8722
OKLAHOMA,2016,OKLAHOMA 2016,0,195394,587,32056,175810,8648
OKLAHOMA,2017,OKLAHOMA 2017,23,196586,1649,31144,176450,9172
OKLAHOMA,2018,OKLAHOMA 2018,0,193588,607,30246,181837,9242
OKLAHOMA,2019,OKLAHOMA 2019,6,187850,752,28518,185713,9410
OREGON,2006,OREGON 2006,45,78435,19180,8040,213545,94328
OREGON,2007,OREGON 2007,45,78435,19180,8040,213545,94328
OREGON,2008,OREGON 2008,45,78435,19180,8040,213545,94328
OREGON,2009,OREGON 2009,45,78435,19180,8040,213545,94328
OREGON,2010,OREGON 2010,227,93471,15891,5652,252545,25069
OREGON,2011,OREGON 2011,227,93471,15891,5652,252545,25069
OREGON,2012,OREGON 2012,67,91471,11910,6178,252654,25948
OREGON,2013,OREGON 2013,188,103098,12637,7025,279742,31559
OREGON,2014,OREGON 2014,53,114217,13401,7420,297552,33878
OREGON,2015,OREGON 2015,37,114354,13027,7458,300440,35422
OREGON,2016,OREGON 2016,41,108931,10994,7196,290411,34103
OREGON,2017,OREGON 2017,60,101821,42587,7127,282576,32142
OREGON,2018,OREGON 2018,75,99524,9273,7243,277859,30818
OREGON,2019,OREGON 2019,73,95214,8488,7540,274868,30401
PENNSYLVANIA,2006,PENNSYLVANIA 2006,18705,717210,321215,42175,214355,76060
PENNSYLVANIA,2007,PENNSYLVANIA 2007,18705,717210,321215,42175,214355,76060
PENNSYLVANIA,2008,PENNSYLVANIA 2008,18705,717210,321215,42175,214355,76060
PENNSYLVANIA,2009,PENNSYLVANIA 2009,18705,717210,321215,42175,214355,76060
PENNSYLVANIA,2010,PENNSYLVANIA 2010,17615,781029,322422,49068,277785,23731
PENNSYLVANIA,2011,PENNSYLVANIA 2011,17615,781029,322422,49068,277785,23731
PENNSYLVANIA,2012,PENNSYLVANIA 2012,16329,769593,306467,45931,302982,31876
PENNSYLVANIA,2013,PENNSYLVANIA 2013,65415,790011,303498,45260,330579,35045
PENNSYLVANIA,2014,PENNSYLVANIA 2014,19687,823968,307726,47094,354176,37577
PENNSYLVANIA,2015,PENNSYLVANIA 2015,18591,807737,293157,48178,364019,37960
PENNSYLVANIA,2016,PENNSYLVANIA 2016,18465,792443,277123,47933,368848,37615
PENNSYLVANIA,2017,PENNSYLVANIA 2017,18753,805468,929179,49475,375249,37504
PENNSYLVANIA,2018,PENNSYLVANIA 2018,19155,805713,270686,51068,383217,38025
PENNSYLVANIA,2019,PENNSYLVANIA 2019,17961,803337,258155,53157,391847,37441
RHODE ISLAND,2006,RHODE ISLAND 2006,80,67415,42210,4225,14520,3609
RHODE ISLAND,2007,RHODE ISLAND 2007,80,67415,42210,4225,14520,3609
RHODE ISLAND,2008,RHODE ISLAND 2008,80,67415,42210,4225,14520,3609
RHODE ISLAND,2009,RHODE ISLAND 2009,80,67415,42210,4225,14520,3609
RHODE ISLAND,2010,RHODE ISLAND 2010,68,62542,38469,3563,13115,392
RHODE ISLAND,2011,RHODE ISLAND 2011,68,62542,38469,3563,13115,392
RHODE ISLAND,2012,RHODE ISLAND 2012,203,66800,38614,2437,14753,646
RHODE ISLAND,2013,RHODE ISLAND 2013,498,75286,40857,2513,17659,693
RHODE ISLAND,2014,RHODE ISLAND 2014,129,78096,41000,3034,18134,926
RHODE ISLAND,2015,RHODE ISLAND 2015,196,78249,41034,3380,19948,1285
RHODE ISLAND,2016,RHODE ISLAND 2016,201,77180,37438,3400,20680,1531
RHODE ISLAND,2017,RHODE ISLAND 2017,125,76081,142625,3105,20387,1328
RHODE ISLAND,2018,RHODE ISLAND 2018,167,77562,36110,3313,21295,1379
RHODE ISLAND,2019,RHODE ISLAND 2019,137,75229,33690,3404,22691,1238
SOUTH CAROLINA,2006,SOUTH CAROLINA 2006,75,104515,35875,49100,237860,19290
SOUTH CAROLINA,2007,SOUTH CAROLINA 2007,75,104515,35875,49100,237860,19290
SOUTH CAROLINA,2008,SOUTH CAROLINA 2008,75,104515,35875,49100,237860,19290
SOUTH CAROLINA,2009,SOUTH CAROLINA 2009,75,104515,35875,49100,237860,19290
SOUTH CAROLINA,2010,SOUTH CAROLINA 2010,53,101415,24842,40350,311576,6973
SOUTH CAROLINA,2011,SOUTH CAROLINA 2011,53,101415,24842,40350,311576,6973
SOUTH CAROLINA,2012,SOUTH CAROLINA 2012,88,96568,19446,35237,329370,8382
SOUTH CAROLINA,2013,SOUTH CAROLINA 2013,111,101029,18643,33897,365681,8856
SOUTH CAROLINA,2014,SOUTH CAROLINA 2014,94,106353,18128,34634,403062,8162
SOUTH CAROLINA,2015,SOUTH CAROLINA 2015,65,102475,14801,32362,403364,9021
SOUTH CAROLINA,2016,SOUTH CAROLINA 2016,115,100052,13033,30118,402450,8783
SOUTH CAROLINA,2017,SOUTH CAROLINA 2017,72,94747,24284,28881,386858,8551
SOUTH CAROLINA,2018,SOUTH CAROLINA 2018,66,91502,12633,27814,392098,8604
SOUTH CAROLINA,2019,SOUTH CAROLINA 2019,62,85215,11166,26199,389029,8373
SOUTH DAKOTA,2006,SOUTH DAKOTA 2006,125,26350,5840,19215,19460,4886
SOUTH DAKOTA,2007,SOUTH DAKOTA 2007,125,26350,5840,19215,19460,4886
SOUTH DAKOTA,2008,SOUTH DAKOTA 2008,125,26350,5840,19215,19460,4886
SOUTH DAKOTA,2009,SOUTH DAKOTA 2009,125,26350,5840,19215,19460,4886
SOUTH DAKOTA,2010,SOUTH DAKOTA 2010,43,36725,4893,17166,26456,1458
SOUTH DAKOTA,2011,SOUTH DAKOTA 2011,43,36725,4893,17166,26456,1458
SOUTH DAKOTA,2012,SOUTH DAKOTA 2012,142,33875,3432,17486,27352,1487
SOUTH DAKOTA,2013,SOUTH DAKOTA 2013,341,35532,3244,16752,29302,1966
SOUTH DAKOTA,2014,SOUTH DAKOTA 2014,0,36830,2804,15993,30650,1664
SOUTH DAKOTA,2015,SOUTH DAKOTA 2015,0,35321,2674,14205,31110,1970
SOUTH DAKOTA,2016,SOUTH DAKOTA 2016,34,35360,2802,15194,31467,1650
SOUTH DAKOTA,2017,SOUTH DAKOTA 2017,18,36100,9159,15353,31973,1727
SOUTH DAKOTA,2018,SOUTH DAKOTA 2018,18,37754,2843,15654,33451,1512
SOUTH DAKOTA,2019,SOUTH DAKOTA 2019,18,36030,2703,15041,34923,1572
TENNESSEE,2006,TENNESSEE 2006,1635,180725,19610,47570,342720,50891
TENNESSEE,2007,TENNESSEE 2007,1635,180725,19610,47570,342720,50891
TENNESSEE,2008,TENNESSEE 2008,1635,180725,19610,47570,342720,50891
TENNESSEE,2009,TENNESSEE 2009,1635,180725,19610,47570,342720,50891
TENNESSEE,2010,TENNESSEE 2010,1135,196774,13074,44726,427495,21818
TENNESSEE,2011,TENNESSEE 2011,1135,196774,13074,44726,427495,21818
TENNESSEE,2012,TENNESSEE 2012,737,190861,10282,36407,447823,22503
TENNESSEE,2013,TENNESSEE 2013,1367,193170,8608,35932,485637,22591
TENNESSEE,2014,TENNESSEE 2014,893,193695,8521,35755,516692,25108
TENNESSEE,2015,TENNESSEE 2015,814,188922,6527,34080,510441,24489
TENNESSEE,2016,TENNESSEE 2016,698,181009,5949,31352,508429,24612
TENNESSEE,2017,TENNESSEE 2017,754,184487,11948,31431,505528,23773
TENNESSEE,2018,TENNESSEE 2018,559,180785,5641,29281,505124,23201
TENNESSEE,2019,TENNESSEE 2019,582,182522,5292,28937,510961,22367
TEXAS,2006,TEXAS 2006,180,821925,2185,169885,956640,32046
TEXAS,2007,TEXAS 2007,180,821925,2185,169885,956640,32046
TEXAS,2008,TEXAS 2008,180,821925,2185,169885,956640,32046
TEXAS,2009,TEXAS 2009,180,821925,2185,169885,956640,32046
TEXAS,2010,TEXAS 2010,152,804318,4309,118546,1346459,12907
TEXAS,2011,TEXAS 2011,152,804318,4309,118546,1346459,12907
TEXAS,2012,TEXAS 2012,88,762637,4405,98798,1403616,11401
TEXAS,2013,TEXAS 2013,278,794742,4249,102016,1537442,12630
TEXAS,2014,TEXAS 2014,311,818416,3828,101488,1655176,12682
TEXAS,2015,TEXAS 2015,325,794801,4530,96478,1675325,12971
TEXAS,2016,TEXAS 2016,309,781467,3895,91917,1706241,12933
TEXAS,2017,TEXAS 2017,359,777377,10602,89853,1693264,12320
TEXAS,2018,TEXAS 2018,395,770366,3992,87646,1736017,12351
TEXAS,2019,TEXAS 2019,383,765231,3801,83326,1764991,12386
UTAH,2006,UTAH 2006,900,114910,1310,6490,22895,7756
UTAH,2007,UTAH 2007,900,114910,1310,6490,22895,7756
UTAH,2008,UTAH 2008,900,114910,1310,6490,22895,7756
UTAH,2009,UTAH 2009,900,114910,1310,6490,22895,7756
UTAH,2010,UTAH 2010,806,159301,1087,5975,28844,3351
UTAH,2011,UTAH 2011,806,159301,1087,5975,28844,3351
UTAH,2012,UTAH 2012,668,148465,813,4882,27474,2979
UTAH,2013,UTAH 2013,1647,169781,706,5245,31552,3267
UTAH,2014,UTAH 2014,391,187783,572,5822,33947,3634
UTAH,2015,UTAH 2015,332,187295,475,5047,35981,3958
UTAH,2016,UTAH 2016,393,173616,413,4652,35585,3550
UTAH,2017,UTAH 2017,397,167970,1393,4706,34230,3473
UTAH,2018,UTAH 2018,426,164096,412,4976,33969,3351
UTAH,2019,UTAH 2019,353,164833,491,4986,36228,3582
VERMONT,2006,VERMONT 2006,95,6095,32620,8065,5050,22616
VERMONT,2007,VERMONT 2007,95,6095,32620,8065,5050,22616
VERMONT,2008,VERMONT 2008,95,6095,32620,8065,5050,22616
VERMONT,2009,VERMONT 2009,95,6095,32620,8065,5050,22616
VERMONT,2010,VERMONT 2010,60,8676,37803,9144,6696,5957
VERMONT,2011,VERMONT 2011,60,8676,37803,9144,6696,5957
VERMONT,2012,VERMONT 2012,31,7173,34326,8001,4992,6713
VERMONT,2013,VERMONT 2013,445,10942,36982,8622,5544,8159
VERMONT,2014,VERMONT 2014,174,9304,34342,9926,5105,8484
VERMONT,2015,VERMONT 2015,178,10264,35533,9836,5042,8413
VERMONT,2016,VERMONT 2016,105,10223,35477,10445,4472,9549
VERMONT,2017,VERMONT 2017,239,11874,118521,10514,5446,10215
VERMONT,2018,VERMONT 2018,344,10701,37155,10970,4863,10172
VERMONT,2019,VERMONT 2019,344,11363,37813,10835,5370,10141
VIRGINIA,2006,VIRGINIA 2006,3420,167365,118735,37375,295515,78994
VIRGINIA,2007,VIRGINIA 2007,3420,167365,118735,37375,295515,78994
VIRGINIA,2008,VIRGINIA 2008,3420,167365,118735,37375,295515,78994
VIRGINIA,2009,VIRGINIA 2009,3420,167365,118735,37375,295515,78994
VIRGINIA,2010,VIRGINIA 2010,2374,182369,104702,40589,387943,27427
VIRGINIA,2011,VIRGINIA 2011,2374,182369,104702,40589,387943,27427
VIRGINIA,2012,VIRGINIA 2012,2117,182434,92719,38355,430883,30466
VIRGINIA,2013,VIRGINIA 2013,2938,191692,92387,39175,472496,33561
VIRGINIA,2014,VIRGINIA 2014,1856,195299,88576,39157,499449,36240
VIRGINIA,2015,VIRGINIA 2015,1323,194517,80983,39704,514573,37168
VIRGINIA,2016,VIRGINIA 2016,1012,199682,75975,38750,536282,36586
VIRGINIA,2017,VIRGINIA 2017,1350,203586,181881,39980,542003,37177
VIRGINIA,2018,VIRGINIA 2018,1143,207835,72620,39409,562613,36480
VIRGINIA,2019,VIRGINIA 2019,1405,209403,66280,39223,564486,34691
WASHINGTON,2006,WASHINGTON 2006,185,110035,24980,14505,366220,106968
WASHINGTON,2007,WASHINGTON 2007,185,110035,24980,14505,366220,106968
WASHINGTON,2008,WASHINGTON 2008,185,110035,24980,14505,366220,106968
WASHINGTON,2009,WASHINGTON 2009,185,110035,24980,14505,366220,106968
WASHINGTON,2010,WASHINGTON 2010,278,136670,22198,17157,453460,30425
WASHINGTON,2011,WASHINGTON 2011,278,136670,22198,17157,453460,30425
WASHINGTON,2012,WASHINGTON 2012,145,137500,17832,16492,444681,32064
WASHINGTON,2013,WASHINGTON 2013,466,149429,16997,18214,489197,35191
WASHINGTON,2014,WASHINGTON 2014,82,164424,16566,19891,522692,37259
WASHINGTON,2015,WASHINGTON 2015,79,164225,15200,18098,530454,37724
WASHINGTON,2016,WASHINGTON 2016,93,161634,14243,17646,527205,38382
WASHINGTON,2017,WASHINGTON 2017,60,159775,65265,17349,527730,37559
WASHINGTON,2018,WASHINGTON 2018,67,159626,12977,16953,533060,38098
WASHINGTON,2019,WASHINGTON 2019,48,156680,12010,15951,530264,37835
WEST VIRGINIA,2006,WEST VIRGINIA 2006,4480,102000,17565,13870,76960,43634
WEST VIRGINIA,2007,WEST VIRGINIA 2007,4480,102000,17565,13870,76960,43634
WEST VIRGINIA,2008,WEST VIRGINIA 2008,4480,102000,17565,13870,76960,43634
WEST VIRGINIA,2009,WEST VIRGINIA 2009,4480,102000,17565,13870,76960,43634
WEST VIRGINIA,2010,WEST VIRGINIA 2010,3713,91865,13108,11764,87108,14142
WEST VIRGINIA,2011,WEST VIRGINIA 2011,3713,91865,13108,11764,87108,14142
WEST VIRGINIA,2012,WEST VIRGINIA 2012,2842,91920,9994,9582,100292,15270
WEST VIRGINIA,2013,WEST VIRGINIA 2013,5727,87970,8729,9508,99799,16013
WEST VIRGINIA,2014,WEST VIRGINIA 2014,2601,87273,9124,9712,104730,17187
WEST VIRGINIA,2015,WEST VIRGINIA 2015,2530,84321,8378,9312,106317,18056
WEST VIRGINIA,2016,WEST VIRGINIA 2016,2276,83719,7468,9024,111331,17133
WEST VIRGINIA,2017,WEST VIRGINIA 2017,2259,88815,23594,9936,113363,18106
WEST VIRGINIA,2018,WEST VIRGINIA 2018,2188,89627,7342,9814,118723,17966
WEST VIRGINIA,2019,WEST VIRGINIA 2019,2171,89042,7020,9606,118780,17524
WISCONSIN,2006,WISCONSIN 2006,155,294600,39580,53690,89100,56862
WISCONSIN,2007,WISCONSIN 2007,155,294600,39580,53690,89100,56862
WISCONSIN,2008,WISCONSIN 2008,155,294600,39580,53690,89100,56862
WISCONSIN,2009,WISCONSIN 2009,155,294600,39580,53690,89100,56862
WISCONSIN,2010,WISCONSIN 2010,161,380277,33801,62714,125434,20975
WISCONSIN,2011,WISCONSIN 2011,161,380277,33801,62714,125434,20975
WISCONSIN,2012,WISCONSIN 2012,152,370747,26515,60689,131402,23493
WISCONSIN,2013,WISCONSIN 2013,282,398448,26290,65716,142450,26822
WISCONSIN,2014,WISCONSIN 2014,121,425969,26498,68173,152488,28923
WISCONSIN,2015,WISCONSIN 2015,53,413702,23593,65080,154068,28397
WISCONSIN,2016,WISCONSIN 2016,108,410235,21787,66255,155709,27130
WISCONSIN,2017,WISCONSIN 2017,96,407583,69114,66647,152531,26978
WISCONSIN,2018,WISCONSIN 2018,125,415231,19796,67396,154964,26447
WISCONSIN,2019,WISCONSIN 2019,151,409051,17701,68179,156142,25344
WYOMING,2006,WYOMING 2006,340,29430,130,5345,10580,8574
WYOMING,2007,WYOMING 2007,340,29430,130,5345,10580,8574
WYOMING,2008,WYOMING 2008,340,29430,130,5345,10580,8574
WYOMING,2009,WYOMING 2009,340,29430,130,5345,10580,8574
WYOMING,2010,WYOMING 2010,303,28956,134,4558,11403,1574
WYOMING,2011,WYOMING 2011,303,28956,134,4558,11403,1574
WYOMING,2012,WYOMING 2012,276,30619,150,6317,12917,2717
WYOMING,2013,WYOMING 2013,1521,33704,169,5870,13935,2891
WYOMING,2014,WYOMING 2014,261,35598,370,5849,16098,3297
WYOMING,2015,WYOMING 2015,159,35447,302,5211,15938,2855
WYOMING,2016,WYOMING 2016,344,31155,176,5138,16127,2989
WYOMING,2017,WYOMING 2017,299,33921,640,5285,16104,2673
WYOMING,2018,WYOMING 2018,312,32693,177,5296,16337,2593
WYOMING,2019,WYOMING 2019,397,34040,176,5813,17153,2481
