State,30_Yr_Norm_HDD
Alabama,2840
Alaska,11525
Arizona,2160
Arkansas,3505
California,2634
Colorado,7410
Connecticut,6068
Delaware,4740
District of Columbia,4848
Florida,694
Georgia,2884
Hawaii,20
Idaho,6909
Illinois,6355
Indiana,5894
Iowa,7058
Kansas,5120
Kentucky,4616
Louisiana,1783
Maine,8012
Maryland,4848
Massachusetts,6409
Michigan,6950
Minnesota,8756
Mississippi,2563
Missouri,5219
Montana,8311
Nebraska,6525
Nevada,3802
New Hampshire,7587
New Jersey,5443
New Mexico,4837
New York,6116
North Carolina,3523
North Dakota,9447
Ohio,5971
Oklahoma,3752
Oregon,5150
Pennsylvania,5913
Rhode Island,5887
South Carolina,2795
South Dakota,7848
Tennessee,4000
Texas,1995
Utah,6613
Vermont,8109
Virginia,4478
Washington,5512
West Virginia,5296
Wisconsin,7791
Wyoming,8302